title,url,price_omr,bedrooms,bathrooms,size_sqm,locality,listing_date,agency
ANSAB | 8 BEDROOM VILLA,https://www.dubizzle.com.om/en/ad/ansab-8-bedroom-villa-ID130488480.html,400.0,8.0,9.0,300.0,"Ansab, Muscat",8 hours ago,
ADV905*4BHK Villa for rent in Madinat Illam in a complex,https://www.dubizzle.com.om/en/ad/adv9054bhk-villa-for-rent-in-madinat-illam-in-a-complex-ID130363172.html,750.0,4.0,4.0,300.0,"Qurum, Muscat",13 hours ago,
ADV906**4BHK Villa in a comples in shatti qurum,https://www.dubizzle.com.om/en/ad/adv9064bhk-villa-in-a-comples-in-shatti-qurum-ID130363228.html,1900.0,4.0,4.0,300.0,"Qurum, Muscat",13 hours ago,
ADC507*** Office Space in Azaiba – 440 sqm for Rent*,https://www.dubizzle.com.om/en/ad/adc507-office-space-in-azaiba-440-sqm-for-rent-ID129639367.html,2310.0,,,440.0,"Azaiba, Muscat",13 hours ago,
*ADV705** 3+1 BHK Villa for Rent in Bousher –Al Muna,https://www.dubizzle.com.om/en/ad/adv705-31-bhk-villa-for-rent-in-bousher-al-muna-ID129637250.html,650.0,3.0,4.0,350.0,"Bosher, Muscat",13 hours ago,
3 + 1 Fully Furnished Villa for Sale in Al Khoud with Garden & Pool,https://www.dubizzle.com.om/en/ad/3-1-fully-furnished-villa-for-sale-in-al-khoud-with-garden-pool-ID130473813.html,150000.0,3.0,4.0,768.0,"Al Khoud, Muscat",13 hours ago,
MADINAT SULTAN QABOOS | BEAUTIFUL 1 BR APARTMENT,https://www.dubizzle.com.om/en/ad/madinat-sultan-qaboos-beautiful-1-br-apartment-ID130092375.html,500.0,1.0,2.0,85.0,"Madinat As Sultan Qaboos, Muscat",1 day ago,
"شقة للبيع في جبل سيفة Apartment for Sale with Direct sea view, Sifah",https://www.dubizzle.com.om/en/ad/%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%AC%D8%A8%D9%84-%D8%B3%D9%8A%D9%81%D8%A9-apartment-for-sale-with-direct-sea-view-sifah-ID130075608.html,95000.0,2.0,2.0,124.0,"Al Sifah, Muscat",1 day ago,
"Branded Residence, spacious apartment with Golf Course View",https://www.dubizzle.com.om/en/ad/branded-residence-spacious-apartment-with-golf-course-view-ID130115851.html,2500.0,3.0,5.0,264.0,"The Wave (Almouj), Muscat",1 day ago,
ADC803**145sqm Offices for rent in Ghubra north,https://www.dubizzle.com.om/en/ad/adc803145sqm-offices-for-rent-in-ghubra-north-ID129424781.html,725.0,,,145.0,"Al Ghubrah, Muscat",1 day ago,
