Title,Price,Bedrooms,Bathrooms,Area,Location,Property_Type,URL,Page
"3 Bedroom Apartment For Rent Ruwi, Muscat",OMR550,3,4,200 Sq. M.,"Ruwi, Muscat",Apartment,https://www.bayut.om/en/property/details-109127515.html,4
"4-Bedroom Villa For Rent in Al Mawaleh, Muscat","OMR1,200",4,5,220 Sq. M.,"Al Mawaleh, Muscat",Villa,https://www.bayut.om/en/property/details-130161900.html,4
"2 Bedrooms Apartment For Rent Ruwi, Muscat",OMR130,2,2,100 Sq. M.,"Ruwi, Muscat",Apartment,https://www.bayut.om/en/property/details-125421608.html,4
"2 Bedroom Apartment For Rent in Al Wadi Al Kabir, Muscat",OMR325,2,2,110 Sq. M.,"Al Wadi Al Kabir, Muscat",Apartment,https://www.bayut.om/en/property/details-130197792.html,4
"2 Bedrooms Apartment For Rent Al Wadi Al Kabir, Muscat",OMR190,2,2,90 Sq. M.,"Al Wadi Al Kabir, Muscat",Apartment,https://www.bayut.om/en/property/details-106085486.html,4
"2 Bedrooms Apartment For Rent Al Khuwair, Muscat",OMR275,2,2,89 Sq. M.,"Al Khuwair, Muscat",Apartment,https://www.bayut.om/en/property/details-129930056.html,4
1 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),"OMR1,350",1,2,140 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-130153372.html,4
1 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),"OMR1,350",1,2,143 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-130153382.html,4
"3 Bedroom Apartment For Rent in Qurum, Muscat",OMR220,3,3,165 Sq. M.,"Qurum, Muscat",Apartment,https://www.bayut.om/en/property/details-129985186.html,5
"4 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat",OMR800,4,4,500 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa,https://www.bayut.om/en/property/details-130240229.html,5
2 Bedroom Apartment For Rent The Wave (Almouj) Muscat,"OMR1,150",2,3,113 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-130092294.html,5
5 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,OMR900,5,6,400 Sq. M.,N/A,Villa,https://www.bayut.om/en/property/details-130224828.html,5
"1 Bedroom Apartment For Rent Bosher, Muscat",OMR320,1,2,77 Sq. M.,"Bosher, Muscat",Apartment,https://www.bayut.om/en/property/details-130162822.html,5
1 Bedroom Apartment For Rent Al Khuwair Muscat,OMR160,1,1,24 Sq. M.,"Al Khuwair, Muscat",Apartment,https://www.bayut.om/en/property/details-129980409.html,5
Land For Rent Misfah Muscat,OMR420,N/A,N/A,420 Sq. M.,"Misfah, Muscat",Other,https://www.bayut.om/en/property/details-121042735.html,5
"5 Bedrooms Villa For Rent Al Khoud, Muscat",OMR500,5,6,300 Sq. M.,"Al Khoud, Muscat",Villa,https://www.bayut.om/en/property/details-130091662.html,5
"2 Bedroom Chalet For Rent in Al Amarat, Muscat",OMR50,2,2,800 Sq. M.,"Al Amarat, Muscat",Other,https://www.bayut.om/en/property/details-130150095.html,5
"2 Bedrooms Apartment For Rent Al Hail, Muscat",OMR390,2,2,100 Sq. M.,"Al Hail, Muscat",Apartment,https://www.bayut.om/en/property/details-128914733.html,5
"5 Bedrooms Villa For Rent Azaiba, Muscat","OMR1,000",5,6,10 Sq. M.,"Azaiba, Muscat",Villa,https://www.bayut.om/en/property/details-127828658.html,5
2 Bedroom Apartment For Rent Muscat (The Wave - Almouj),OMR900,2,3,119 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-130170620.html,5
"4 Bedroom Villa For Rent Madinat As Sultan Qaboos, Muscat",OMR725,4,7,300 Sq. M.,N/A,Villa,https://www.bayut.om/en/property/details-130147348.html,5
"3 Bedrooms Apartment For Rent Al Hail, Muscat",OMR300,3,4,240 Sq. M.,"Al Hail, Muscat",Apartment,https://www.bayut.om/en/property/details-130260227.html,5
"3 Bedroom Chalet For Rent in Bidiya, Al Sharqiya",OMR50,3,4,150 Sq. M.,"Bidiya, Al Sharqiya",Other,https://www.bayut.om/en/property/details-126665293.html,5
"5 Bedrooms Villa For Rent Al Hail, Muscat",OMR755,5,7,400 Sq. M.,"Al Hail, Muscat",Villa,https://www.bayut.om/en/property/details-129514986.html,5
"1 Bedroom Apartment For Rent Al Khuwair, Muscat",OMR210,1,2,59 Sq. M.,"Al Khuwair, Muscat",Apartment,https://www.bayut.om/en/property/details-129930016.html,5
"3 Bedroom Apartment For Rent in Al Hail, Muscat",OMR600,3,3,300 Sq. M.,"Al Hail, Muscat",Apartment,https://www.bayut.om/en/property/details-130236653.html,5
"2 Bedrooms Apartment For Rent in Azaiba, Muscat",OMR350,2,2,100 Sq. M.,"Azaiba, Muscat",Apartment,https://www.bayut.om/en/property/details-130236688.html,5
"9 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat","OMR1,899",9,9,846 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa,https://www.bayut.om/en/property/details-130226978.html,5
"5 Bedrooms Villa For Rent in Qantab, Muscat","OMR1,750",5,6,350 Sq. M.,"Qantab, Muscat",Villa,https://www.bayut.om/en/property/details-130239109.html,5
"5 Bedroom Villa For Rent in Qantab, Muscat","OMR1,750",5,6,500 Sq. M.,"Qantab, Muscat",Villa,https://www.bayut.om/en/property/details-130259043.html,5
2 Bedroom Apartment For Rent The Wave (Almouj) Muscat,OMR700,2,2,75 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-130232592.html,5
"5 Bedroom Villa For Rent Darsait, Muscat",OMR400,5,6,315 Sq. M.,"Darsait, Muscat",Villa,https://www.bayut.om/en/property/details-129672061.html,5
"5 Bedroom Villa For Rent Azaiba, Muscat","OMR1,000",5,7,300 Sq. M.,"Azaiba, Muscat",Villa,https://www.bayut.om/en/property/details-130325709.html,6
"1 Bedroom Apartment For Rent Bosher, Muscat",OMR400,1,2,90 Sq. M.,"Bosher, Muscat",Apartment,https://www.bayut.om/en/property/details-130323427.html,6
"2 Bedrooms Apartment For Rent Ruwi, Muscat",OMR180,2,2,95 Sq. M.,"Ruwi, Muscat",Apartment,https://www.bayut.om/en/property/details-122943966.html,6
"1 Bedroom Apartment For Rent in Al Khuwair, Muscat",OMR250,1,1,70 Sq. M.,"Al Khuwair, Muscat",Apartment,https://www.bayut.om/en/property/details-129979770.html,6
