title,Price,bedrooms,bathrooms,Size,Location,Property_type
منزل للبيع في المعبيلة الجنوبية حي العز,68000.0,4,4,226.0,"Al Maabilah, Muscat",Other
Amazing 2+1BHK FOR SALE in AL Mouj – Luban FSA24,120000.0,2,2,127.0,"The Wave (Almouj), Muscat",Other
Twin Villa for Sale Soor Al Hadid,87000.0,5,7,378.0,"Al Seeb, Muscat",Villa
مكتب للإيجارمؤثث في سكوير الخوض السيب Office for Rent Furnished,140.0,2,3,100.0,"Al Khoud, Muscat",Commercial
Office for Rent in Avenues Mall Ghubrah Bawshar Khuwair - مكتب للايجار,150.0,2,3,100.0,"Al Ghubrah, Muscat",Commercial
Villa with 4 Bedrooms for Sale- فيلا بأربع غرف للبيع,517000.0,4,5,560.0,"Yiti, Muscat",Villa
Villa for Sale in Muscat- فيلا للبيع في مسقط,474000.0,4,5,500.0,"Yiti, Muscat",Villa
Golf View | Pool View 1 BHK Aida Greate Escape2 | 40 Month Installment,89898.0,1,2,56.0,"Yiti, Muscat",Other
MADINAT AL ILAM | SPACIOUS 4+1 BEDROOM TOWNHOUSE,650.0,4,6,300.0,"Madinat As Sultan Qaboos, Muscat",Villa
Rare Opportunity – Marina View Apartment in Al Mouj at a Great Price,230000.0,2,2,157.0,"The Wave (Almouj), Muscat",Apartment
شقة مؤثثة بالكامل للبيع بتصميم عصري VIP في المعبيلة 5 / 1 خلف عرب سويت,30000.0,2,2,101.0,"Al Maabilah, Muscat",Other
شقة مؤثثة جزئيًا للبيع في المعبيلة قريب المدرسة الهندية على شارع النور,36500.0,3,3,126.0,"Al Maabilah, Muscat",Other
منزل للبيع في المعبيلة الصناعية في حي العز خلف جامع السلطان تيمور,55000.0,2,3,531.0,"Al Maabilah, Muscat",Other
شقة سكنية للبيع ف المعبيلة حي الرحبة قريب مدرسة منار الحكمة,25500.0,3,3,101.0,"Al Maabilah, Muscat",Other
منزل مستقل للبيع في المعبيلة مقابل جامع السلطان تيمور بن فيصل,66000.0,3,4,509.0,"Al Maabilah, Muscat",Other
فيلا بجودة بناء عالية للبيع في مرتفعات الأنصب,205000.0,4,6,405.0,"Ansab, Muscat",Other
فيلا للبيع في الخوض السادسة,160000.0,6,7,300.0,"Al Khoud, Muscat",Other
فيلا راقية للبيع في مرتفعات الأنصب Luxury vila for sale inAnsab hights,225000.0,7,9,704.0,"Ansab, Muscat",Other
فلة مزرعة للبيع في منتجع السيفة,245000.0,4,5,,"Al Sifah, Muscat",Other
one room in darsait free wifi(B3222),85.0,1,1,35.0,"Darsait, Muscat",Other
MADINAT AL ILAM | MODERN OPULENT 7+2 BR VILLA FOR RENT,2500.0,8,12,500.0,"Madinat As Sultan Qaboos, Muscat",Villa
Excellent 4+1 BR BR Townhouses for Rent in Madinatl Al Illam,650.0,5,5,300.0,"Madinat As Sultan Qaboos, Muscat",Villa
BOSHER AL MUNA | MODERN 3+1BR TOWNHOUSE WITH PRIVATE POOL,800.0,4,5,300.0,"Bosher, Muscat",Villa
Beautiful 4 BR Compound Villa Available for Rent in Al Qurum,1800.0,4,5,400.0,"Qurum, Muscat",Villa
Apartment for Rent \ Sale in Al Qurum,320.0,2,3,130.0,"Qurum, Muscat",Apartment
تملك شقتك في مسقط بالاقساط علي 100 شهر بدون فوائد,25000.0,2,2,100.0,"Al Maabilah, Muscat",Other
تملك شقتك بقسط شهري 200 ريال ف مسقط,25000.0,2,2,100.0,"Al Maabilah, Muscat",Other
3 Bedrooms Villa For Sale with Swimming Pool,320000.0,3,3,269.0,"The Wave (Almouj), Muscat",Villa
MQ | EXCELLENT 5+1 BR VILLA,850.0,5,6,300.0,"Madinat As Sultan Qaboos, Muscat",Villa
محل للبيع تجاري في موقع مميز وفرصة استثمارية عالية وفريدة,36655.0,2,3,44.0,"Ghala, Muscat",Other
مكتب للبيع في موقع حيوي ومميز وبالقرب من كل الخدمات,48500.0,2,3,97.0,"Ghala, Muscat",Other
محل للبيع تجاري في موقع استراتيجي وعائد استثماري عالي,28000.0,2,3,28.0,"Al Ghubrah, Muscat",Other
Serviced 1 BHK Apartment | 3 Years Payment Plan | La Vie Residences,124031.0,1,2,105.0,"Muscat - Other, Muscat",Apartment
Fully Serviced and Furnished Studio Apartment for Sale in La Vie,65100.0,2,1,64.0,"Muscat Hills, Muscat",Apartment
1 BR Appartment | Sustainable City Yiti | شقة بغرفة نوم واحدة| ROI: 9%,79000.0,1,2,79.0,"Yiti, Muscat",Other
شقة بغرفتي نوم 2 | الدفع بالتقسيط في مدينة يتي المستدامة,127931.0,2,3,118.0,"Yiti, Muscat",Other
AL MOUJ FULLY FURNISHED 2BHK APARTMENT WITH FREE WIFI FOR RENT,849.0,2,2,180.0,"The Wave (Almouj), Muscat",Apartment
QURUM | DELUXE 2BHK APARTMENT FOR RENT,449.0,2,2,145.0,"Qurum, Muscat",Apartment
WADI KABIR | 1300 SQM WAREHOUSE WITH OFFICE,2499.0,2,3,,"Al Wadi Al Kabir, Muscat",Villa
GHALA | 2200 SQM WAREHOUSE IN PRIME LOCATION,3999.0,2,3,,"Ghala, Muscat",Villa
AL MOUJ | MARINA AND SEA VIEW 2 BHK APARTMENT IN JUMAN,1299.0,2,2,135.0,"The Wave (Almouj), Muscat",Apartment
MADINAT AL ILAM | FULLY FURNISHED 5+1BR COMPOUND VILLA,1400.0,6,7,640.0,"Madinat As Sultan Qaboos, Muscat",Villa
MADINAT SULTAN QABOOS | MODERN 4+1 LUXURIOUS VILLA WITH PRIVATE POOL,1550.0,5,6,425.0,"Madinat As Sultan Qaboos, Muscat",Villa
AL MOUJ | 2BHK FULL MARINA VIEW WITH SPACIOUS OPEN BALCONY,999.0,2,2,115.0,"The Wave (Almouj), Muscat",Other
BOOK NOW Apartments in (SULTAN HAITHAM CITY) with 5 Years Payment Plan,53922.0,1,1,67.0,"Al Maabilah, Muscat",Apartment
فيلا للبيع، مدينة السلطان هيثم Villa in Sultan Haitham City,227100.0,5,5,412.0,"Al Seeb, Muscat",Villa
Sea View 1BHK Appartment FreeHold Installmentشقة بغرفة نوم واحدة للبيع,105647.0,1,2,78.0,"Yiti, Muscat",Other
MADINAT QABOOS | MODERN 4+1 LUXURIOUS VILLA WITH PRIVATE POOL,1550.0,5,6,325.0,"Madinat As Sultan Qaboos, Muscat",Villa
MADINAT SULTAN QABOOS | MODERN HIGH QUALITY 6+2 BEDROOM LUXURIOUS VILL,1999.0,7,9,750.0,"Madinat As Sultan Qaboos, Muscat",Other
1bhk near Almouj free wifi (B173),200.0,1,2,85.0,"Al Mawaleh, Muscat",Other
6bhk Villa AlKhoud free WiFi ( one family only),480.0,6,6,300.0,"Al Khoud, Muscat",Villa
ADV1003** Well maintained 4BHK+Maid villa for rent in Madinat sultan Q,750.0,4,6,425.0,"Madinat As Sultan Qaboos, Muscat",Villa
